key,typeOfIncident,description,saverityLevel,registrationMoment,key:flightAssignment,draftMode
#typeOfIncident,"","","","","","",""
ActivityLog-01,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-02,L,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-03,Lo,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-06,洛伦·伊普,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-07,' or 'A' = 'A,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-08,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
#description,"","","","","","",""
ActivityLog-09,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-10,Lorem ipsum dolor sit ame,L,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-11,Lorem ipsum dolor sit ame,Lo,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-12,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-13,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-14,Lorem ipsum dolor sit ame,洛伦·伊普森,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-15,Lorem ipsum dolor sit ame,' or 'A' = 'A,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-16,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,5,2022/01/12 12:00,flightAssignment-01,true
#saverityLevel,"","","","","","",""
ActivityLog-17,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-18,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,0,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-19,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,1,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-20,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,9,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-21,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,10,2022/01/12 12:00,flightAssignment-01,true
#registrationMoment,"","","","","","",""
ActivityLog-22,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-23,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2025/01/01 00:00,flightAssignment-01,true
ActivityLog-24,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2024/12/31 23:59,flightAssignment-01,true
ActivityLog-25,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2000/01/01 00:00,flightAssignment-01,true
ActivityLog-26,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2000/01/01 00:01,flightAssignment-01,true
#flightAssignment,"","","","","","",""
ActivityLog-27,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-28,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-01,true
ActivityLog-29,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5,2022/01/12 12:00,flightAssignment-02,true
