key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-technician-01,true,"UserIdentity{name: 'Paula', surname: 'Apellido', email: 'paulaApellido@acme.com'}",technician1,technician1
user-account-technician-02,true,"UserIdentity{name: 'Alejandra', surname: 'Gomez', email: 'alejandraGomez@acme.com'}",technician2,technician2
user-account-technician-03,true,"UserIdentity{name: 'Mari', surname: 'Pepi', email: 'mariPepi@acme.com'}",technician3,technician3
user-account-customer-01,true,"UserIdentity{name: 'Laura', surname: 'Gazquez', email: 'laura@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Helena', surname: 'Perez', email: 'helena@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Rosana', surname: 'Martinez', email: 'rosana@acme.com'}",customer3,customer3
user-account-flighCrewMember-05,true,"UserIdentity{name: 'Iñigo', surname: 'Paez', email: 'iñigo@acme.com'}",member,member
user-account-flighCrewMember-04,true,"UserIdentity{name: 'Rafael', surname: 'Fernandez', email: 'rafael@acme.com'}",member4,member4
user-account-flighCrewMember-03,true,"UserIdentity{name: 'William', surname: 'Esposito', email: 'william@acme.com'}",member3,member3
user-account-flighCrewMember-02,true,"UserIdentity{name: 'Diana', surname: 'Montoya', email: 'diana@acme.com'}",member2,member2
user-account-flighCrewMember-01,true,"UserIdentity{name: 'Angela', surname: 'Garcia', email: 'angela@acme.com'}",member1,member1
user-account-assistanceAgent-01,true,"UserIdentity{name: 'Pablo', surname: 'López', email: 'pabloLopez@acme.com'}",agent1,agent1
user-account-assistanceAgent-02,true,"UserIdentity{name: 'Juan', surname: 'Espinosa', email: 'juanEspinosa@acme.com'}",agent2,agent2
user-account-assistanceAgent-03,true,"UserIdentity{name: 'David', surname: 'Pérez', email: 'davidPerez@acme.com'}",agent3,agent3
user-account-manager-01,true,"UserIdentity{name: 'Carlos', surname: 'Fernandez', email: 'carlos@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Sofia', surname: 'Rodero', email: 'sofia@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Isabel', surname: 'Ruiz', email: 'isabel@acme.com'}",manager3,manager3
